Categoria;Item
Banheiro;Escova de Dentes
Banheiro;Escova de Vaso Sanitário
Banheiro;Espelho
Banheiro;Esponja de Banho
Banheiro;Lixeira
Banheiro;Porta Escova e Pasta de Dente
Banheiro;Porta Papel Higiénico
Banheiro;Porta Sabonete Liquido
Banheiro;Saboneteira
Banheiro;Tapetes
Banheiro;Toalha de Banho
Banheiro;Toalha de Rosto
Banheiro;Fio Dental
Banheiro;Porta Cotonete
Banheiro;Papel Higiénico
Banheiro;Sabonete
Eletronicos;Alexa
Eletronicos;Ar Condicionado
Eletronicos;Caixa de Som/Rádio
Eletronicos;Televisão
Eletronicos;Umidificador de Ar
Eletronicos;Ventilador
Sala de estar;Almofadas
Sala de estar;Cortina
Sala de estar;Mesa de Centro
Sala de estar;Mesa de Computador
Sala de estar;Mesinhas de Canto
Sala de estar;Porta Chaves
Sala de estar;Rack para Sala
Sala de estar;Sofá
Sala de estar;Tapete
Cuidados Médicos;Aparelho de Pressão
Cuidados Médicos;Curativos
Cuidados Médicos;Nebulizador
Cuidados Médicos;Remédios Básicos
Cuidados Médicos;Termômetro
Ferramentas;Adaptador de Tomada
Ferramentas;Benjamim
Ferramentas;Caixa de Ferramenta
Ferramentas;Extensão
Ferramentas;Fita Dupla Face
Ferramentas;Fita Isolante
Ferramentas;Furadeira
Ferramentas;Parafusadeira
Ferramentas;Vela
Lavanderia;Baldes
Lavanderia;Aspirador
Lavanderia;Cesta de Roupa Suja
Lavanderia;Cesto para Prendedor de Roupa
Lavanderia;Escovinha
Lavanderia;Espanador
Lavanderia;Esponja
Lavanderia;Ferro de Passar Roupa
Lavanderia;Flanela
Lavanderia;Lixeiras
Lavanderia;Luva de Borracha
Lavanderia;Máquina de Lavar
Lavanderia;Mop Esfregão
Lavanderia;Mop Spray
Lavanderia;Pá de Lixo
Lavanderia;Pano de Pia
Lavanderia;Panos de Chão
Lavanderia;Pregador de Roupa
Lavanderia;Recipientes para Sabão/Amaci./Etc.
Lavanderia;Rodo
Lavanderia;Rodo de Pia
Lavanderia;Sacos de Lixo
Lavanderia;Sapateira
Lavanderia;Suporte de Sabão em Barra
Lavanderia;Tábua de Passar Roupa
Lavanderia;Varal de Roupas
Lavanderia;Vassoura
Lavanderia;Detergente
Lavanderia;Amaciante
Lavanderia;Limpa Vidro
Lavanderia;Lustra Móveis
Lavanderia;Mata Mosquito
Lavanderia;Álcool
Lavanderia;Sabão de Coco
Lavanderia;Sabão em Pó
Lavanderia;Sabão Líquido
